Feature	ERR479193	ERR478994	ERR479389	ERR478986	ERR479284	ERR479267	ERR479225	ERR478970	ERR479331	ERR479063	ERR479348	ERR479018	ERR479245	ERR479397	ERR479351	ERR479043	ERR479308	ERR479099	ERR478968	ERR479014	ERR479546	ERR479049	ERR479542	ERR479413	ERR479532	ERR479286	ERR479516	ERR479319	ERR479508	ERR479059	ERR479496	ERR479022	ERR479452	ERR478958	ERR479448	ERR479107	ERR479484	ERR479118	ERR479492	ERR479169	ERR479366	ERR479263	ERR479251	ERR479374	ERR479065	ERR479132	ERR479254	ERR479203	ERR479316	ERR479312	ERR479528	ERR479391	ERR479432	ERR479339	ERR479428	ERR479370	ERR479476	ERR479183	ERR479504	ERR479294	ERR479456	ERR479079	ERR479500	ERR479341
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_radingae_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000278725	31	281	16	331	11	0	28	0	270	566	35	349	27	123	146	75	216	222	0	269	122	218	91	48	301	494	0	30	0	32	59	38	74	483	135	241	0	493	53	111	0	41	770	1151	328	11	264	354	186	53	0	0	0	0	66	15	144	21	26	224	0	85	20	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000308055	0	559	172	0	0	0	1095	421	0	521	662	2388	860	0	522	763	0	952	0	0	249	758	299	77	0	363	65	178	0	0	809	112	454	0	293	2101	0	259	430	858	0	952	1164	2922	1334	0	0	464	0	861	988	262	193	85	0	0	700	471	601	0	0	0	260	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000411415	0	10	0	15	0	0	12	49	21	31	71	283	22	0	45	38	20	65	0	15	0	10	14	0	50	14	0	10	0	0	24	0	0	0	0	31	0	0	0	30	0	17	97	50	269	34	0	20	12	0	0	0	0	0	10	13	13	54	0	19	10	10	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp000758755	15	31	100	11	0	10	0	0	29	12	108	73	18	16	28	15	30	52	0	14	63	38	70	32	86	124	0	23	104	0	32	12	49	16	57	0	0	54	81	133	0	24	105	136	0	0	54	61	0	30	87	0	0	12	42	37	14	108	28	56	36	0	16	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001064145	0	13	0	71	11	13	58	13	36	48	65	102	44	52	13	25	37	55	0	55	126	24	11	15	27	43	0	0	0	267	0	0	95	170	41	20	0	23	33	45	0	74	140	144	42	11	13	0	26	50	142	0	0	0	33	42	11	43	29	27	0	0	40	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp001838165	10	0	0	0	0	0	563	0	14	29	16	454	65	0	27	21	19	20	0	20	15	18	10	0	20	16	0	0	0	0	129	0	12	0	12	51	0	0	12	42	0	20	174	58	53	0	13	16	14	14	189	0	0	0	10	26	14	17	0	30	0	15	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900541895	0	0	0	0	0	0	290	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	44	37	0	0	0	0	0	0	142	0	0	0	81	0	0	0	111	102	0	104	251	236	0	0	0	104	0	0	221	0	0	0	0	0	60	0	50	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900554605	232	0	107	0	0	0	0	0	806	884	185	914	912	0	0	0	0	0	0	0	324	0	396	180	2121	1017	0	0	105	0	0	0	0	812	308	0	0	562	401	675	0	0	540	555	0	0	774	238	0	0	137	0	0	0	0	0	110	1153	0	1120	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Pauljensenia|s__Pauljensenia_sp900556405	0	0	0	0	0	0	29	49	11	0	0	112	12	0	24	36	0	44	0	0	0	11	0	0	13	0	0	11	0	0	28	0	0	0	0	0	0	0	0	17	0	0	59	15	499	0	0	0	0	0	0	0	0	0	0	12	0	62	0	0	0	0	0	0
